Player,player_url,name,age,position,height_cm,weight_kg,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS_,AerialsWon,MotM,Rating
	1,https://www.whoscored.com/Players/123761/Show/Bruno-Fernandes,Bruno Fernandes,28,",  M(CLR)  ",179,69,37,3320	,8	,8	,6	,-	,2.5	,77.7	,0.5	,6	,7.44
	2,https://www.whoscored.com/Players/88526/Show/Casemiro,Casemiro,31,",  DMC  ",185,84,24(4),2126	,4	,3	,7	,2	,1.2	,78.5	,2	,5	,7.17
	3,https://www.whoscored.com/Players/300299/Show/Marcus-Rashford,Marcus Rashford,25,",  AM(CLR),FW  ",180,70,32(3),2890	,17	,5	,2	,-	,3.1	,78.7	,0.6	,6	,7.08
	4,https://www.whoscored.com/Players/353418/Show/Diogo-Dalot,Diogo Dalot,24,",  D(LR),M(R)  ",183,76,24(2),2155	,1	,2	,6	,-	,0.8	,80.5	,1.5	,2	,6.96
	5,https://www.whoscored.com/Players/331924/Show/Aaron-Wan-Bissaka,Aaron Wan-Bissaka,25,",  D(R),M(R)  ",183,72,16(3),1436	,-	,-	,2	,-	,0.5	,83.5	,0.7	,-	,6.93
	6,https://www.whoscored.com/Players/118244/Show/Luke-Shaw,Luke Shaw,27,",  D(CL),M(L)  ",185,75,30(1),2558	,1	,2	,8	,-	,0.5	,86	,1.5	,1	,6.90
	7,https://www.whoscored.com/Players/340105/Show/Lisandro-Mart%C3%ADnez,Lisandro Martínez,25,",  D(CL),DMC  ",175,77,24(3),2117	,1	,-	,6	,-	,0.4	,87.3	,1.2	,-	,6.84
	8,https://www.whoscored.com/Players/346300/Show/Jadon-Sancho,Jadon Sancho,23,",  AM(CLR)  ",180,76,21(5),1699	,6	,3	,-	,-	,0.8	,85	,0.1	,-	,6.82
	9,https://www.whoscored.com/Players/364315/Show/Antony,Antony,23,",  AM(R)  ",174,63,23(2),1819	,4	,2	,5	,-	,2.9	,82.2	,0.2	,1	,6.82
	10,https://www.whoscored.com/Players/100008/Show/Victor-Lindel%C3%B6f,Victor Lindelöf,28,",  D(CR)  ",187,80,14(6),1361	,-	,-	,1	,-	,0.2	,93.2	,1.7	,-	,6.70
	11,https://www.whoscored.com/Players/69344/Show/Christian-Eriksen,Christian Eriksen,31,",  M(CLR),FW  ",182,76,25(3),2062	,1	,8	,3	,-	,1.4	,84.6	,0.3	,1	,6.70
	12,https://www.whoscored.com/Players/79554/Show/David-de-Gea,David de Gea,32,",  GK  ",192,76,38,3420	,-	,-	,-	,-	,-	,68.3	,0.1	,1	,6.67
	13,https://www.whoscored.com/Players/93206/Show/Rapha%C3%ABl-Varane,Raphaël Varane,30,",  D(C)  ",191,81,22(2),1917	,-	,-	,1	,-	,0.3	,86.5	,1.8	,-	,6.64
	14,https://www.whoscored.com/Players/92051/Show/Marcel-Sabitzer,Marcel Sabitzer,29,",  M(CLR),FW  ",178,76,7(4),628	,-	,1	,1	,-	,1	,79.1	,1.2	,-	,6.64
	15,https://www.whoscored.com/Players/345303/Show/Tyrell-Malacia,Tyrell Malacia,23,",  D(L)  ",170,67,14(8),1395	,-	,-	,6	,-	,0.2	,87.4	,0.4	,-	,6.64
	16,https://www.whoscored.com/Players/122366/Show/Anthony-Martial,Anthony Martial,27,",  AM(LR),FW  ",181,76,11(10),980	,6	,2	,-	,-	,1.3	,81.6	,0.5	,-	,6.59
	17,https://www.whoscored.com/Players/99487/Show/Harry-Maguire,Harry Maguire,30,",  D(C)  ",194,90,8(8),762	,-	,-	,4	,-	,0.2	,85.4	,1.6	,-	,6.59
	18,https://www.whoscored.com/Players/336915/Show/Scott-McTominay,Scott McTominay,26,",  D(C),DMC  ",193,88,10(14),1151	,1	,-	,8	,-	,0.5	,82.9	,1.4	,1	,6.55
	19,https://www.whoscored.com/Players/114397/Show/Fred,Fred,30,",  M(C)  ",169,64,12(23),1235	,2	,2	,6	,-	,0.7	,80.7	,0.3	,-	,6.48
	20,https://www.whoscored.com/Players/5583/Show/Cristiano-Ronaldo,Cristiano Ronaldo,38,",  M(L),FW  ",187,83,4(6),520	,1	,-	,2	,-	,2.5	,76.6	,1.5	,1	,6.39
	21,https://www.whoscored.com/Players/115479/Show/Wout-Weghorst,Wout Weghorst,30,",  FW  ",197,84,10(7),797	,-	,1	,1	,-	,0.8	,72.9	,0.9	,-	,6.38
	22,https://www.whoscored.com/Players/437022/Show/Alejandro-Garnacho,Alejandro Garnacho,18,",  AM(L)  ",180,80,5(14),563	,3	,2	,3	,-	,1.3	,81.1	,0.2	,-	,6.35
	23,https://www.whoscored.com/Players/413211/Show/Anthony-Elanga,Anthony Elanga,21,",  AM(LR)  ",178,70,5(11),424	,-	,1	,-	,-	,0.6	,76	,0.5	,-	,6.26
	24,https://www.whoscored.com/Players/275035/Show/Donny-van-de-Beek,Donny van de Beek,26,",  M(C)  ",184,76,2(5),166	,-	,-	,-	,-	,0.3	,78	,0.4	,-	,6.18
	25,https://www.whoscored.com/Players/404086/Show/Facundo-Pellistri,Facundo Pellistri,21,",  AM(R)  ",175,69,0(4),60	,-	,-	,-	,-	,-	,93.3	,-	,-	,6.18
	26,https://www.whoscored.com/Players/460260/Show/Kobbie-Mainoo,Kobbie Mainoo,18,",  Midfielder  ",175,0,0(1),10	,-	,-	,-	,-	,-	,87.5	,-	,-	,6.11
